,Period,household,time_of_day,daily_sum
574,P7,17,afternoon,0.6306426439487604
575,P7,17,evening,0.29593552004092466
576,P7,18,night,-0.33136769762925455
577,P7,18,morning,1.0173253578221177
578,P7,18,afternoon,0.4111822751025522
579,P7,18,evening,-0.2180306537826289
580,P7,19,night,-0.38383333377821616
581,P7,19,morning,0.35402248425028654
582,P7,19,afternoon,0.6378908763143237
583,P7,19,evening,-0.00966598871902604
584,P7,20,night,-0.5115851045427211
585,P7,20,morning,1.8212738475411907
586,P7,20,afternoon,1.8322384983287345
587,P7,20,evening,1.0889119025115503
